2022-01-30 22:07:31.313 DEBUG 9320 --- [http-nio-4100-exec-1] org.hibernate.SQL                        : update hibernate_sequence set next_val= ? where next_val=?
2022-01-30 22:07:31.328 DEBUG 9320 --- [http-nio-4100-exec-1] org.hibernate.SQL                        : select next_val as id_val from hibernate_sequence for update
2022-01-30 22:07:31.328 DEBUG 9320 --- [http-nio-4100-exec-1] org.hibernate.SQL                        : update hibernate_sequence set next_val= ? where next_val=?
2022-01-30 22:07:31.333 DEBUG 9320 --- [http-nio-4100-exec-1] org.hibernate.SQL                        : select next_val as id_val from hibernate_sequence for update
2022-01-30 22:07:31.334 DEBUG 9320 --- [http-nio-4100-exec-1] org.hibernate.SQL                        : update hibernate_sequence set next_val= ? where next_val=?
2022-01-30 22:07:31.340 DEBUG 9320 --- [http-nio-4100-exec-1] org.hibernate.SQL                        : select next_val as id_val from hibernate_sequence for update
2022-01-30 22:07:31.341 DEBUG 9320 --- [http-nio-4100-exec-1] org.hibernate.SQL                        : update hibernate_sequence set next_val= ? where next_val=?
2022-01-30 22:07:31.346 DEBUG 9320 --- [http-nio-4100-exec-1] org.hibernate.SQL                        : select next_val as id_val from hibernate_sequence for update
2022-01-30 22:07:31.347 DEBUG 9320 --- [http-nio-4100-exec-1] org.hibernate.SQL                        : update hibernate_sequence set next_val= ? where next_val=?
2022-01-30 22:07:31.352 DEBUG 9320 --- [http-nio-4100-exec-1] org.hibernate.SQL                        : select next_val as id_val from hibernate_sequence for update
2022-01-30 22:07:31.353 DEBUG 9320 --- [http-nio-4100-exec-1] org.hibernate.SQL                        : update hibernate_sequence set next_val= ? where next_val=?
2022-01-30 22:07:31.358 DEBUG 9320 --- [http-nio-4100-exec-1] org.hibernate.SQL                        : select next_val as id_val from hibernate_sequence for update
2022-01-30 22:07:31.359 DEBUG 9320 --- [http-nio-4100-exec-1] org.hibernate.SQL                        : update hibernate_sequence set next_val= ? where next_val=?
2022-01-30 22:07:31.364 DEBUG 9320 --- [http-nio-4100-exec-1] org.hibernate.SQL                        : select next_val as id_val from hibernate_sequence for update
2022-01-30 22:07:31.365 DEBUG 9320 --- [http-nio-4100-exec-1] org.hibernate.SQL                        : update hibernate_sequence set next_val= ? where next_val=?
2022-01-30 22:07:31.373 DEBUG 9320 --- [http-nio-4100-exec-1] org.hibernate.SQL                        : select next_val as id_val from hibernate_sequence for update
2022-01-30 22:07:31.374 DEBUG 9320 --- [http-nio-4100-exec-1] org.hibernate.SQL                        : update hibernate_sequence set next_val= ? where next_val=?
2022-01-30 22:07:31.379 DEBUG 9320 --- [http-nio-4100-exec-1] org.hibernate.SQL                        : select next_val as id_val from hibernate_sequence for update
2022-01-30 22:07:31.380 DEBUG 9320 --- [http-nio-4100-exec-1] org.hibernate.SQL                        : update hibernate_sequence set next_val= ? where next_val=?
2022-01-30 22:07:31.389 DEBUG 9320 --- [http-nio-4100-exec-1] org.hibernate.SQL                        : select next_val as id_val from hibernate_sequence for update
2022-01-30 22:07:31.389 DEBUG 9320 --- [http-nio-4100-exec-1] org.hibernate.SQL                        : update hibernate_sequence set next_val= ? where next_val=?
2022-01-30 22:07:31.396 DEBUG 9320 --- [http-nio-4100-exec-1] org.hibernate.SQL                        : select next_val as id_val from hibernate_sequence for update
2022-01-30 22:07:31.397 DEBUG 9320 --- [http-nio-4100-exec-1] org.hibernate.SQL                        : update hibernate_sequence set next_val= ? where next_val=?
2022-01-30 22:07:31.404 DEBUG 9320 --- [http-nio-4100-exec-1] org.hibernate.SQL                        : select next_val as id_val from hibernate_sequence for update
2022-01-30 22:07:31.405 DEBUG 9320 --- [http-nio-4100-exec-1] org.hibernate.SQL                        : update hibernate_sequence set next_val= ? where next_val=?
2022-01-30 22:07:31.412 DEBUG 9320 --- [http-nio-4100-exec-1] org.hibernate.SQL                        : select next_val as id_val from hibernate_sequence for update
2022-01-30 22:07:31.412 DEBUG 9320 --- [http-nio-4100-exec-1] org.hibernate.SQL                        : update hibernate_sequence set next_val= ? where next_val=?
2022-01-30 22:07:31.421 DEBUG 9320 --- [http-nio-4100-exec-1] org.hibernate.SQL                        : select next_val as id_val from hibernate_sequence for update
2022-01-30 22:07:31.422 DEBUG 9320 --- [http-nio-4100-exec-1] org.hibernate.SQL                        : update hibernate_sequence set next_val= ? where next_val=?
2022-01-30 22:07:31.429 DEBUG 9320 --- [http-nio-4100-exec-1] org.hibernate.SQL                        : select next_val as id_val from hibernate_sequence for update
2022-01-30 22:07:31.431 DEBUG 9320 --- [http-nio-4100-exec-1] org.hibernate.SQL                        : update hibernate_sequence set next_val= ? where next_val=?
2022-01-30 22:07:31.437 DEBUG 9320 --- [http-nio-4100-exec-1] org.hibernate.SQL                        : select next_val as id_val from hibernate_sequence for update
2022-01-30 22:07:31.438 DEBUG 9320 --- [http-nio-4100-exec-1] org.hibernate.SQL                        : update hibernate_sequence set next_val= ? where next_val=?
2022-01-30 22:07:31.445 DEBUG 9320 --- [http-nio-4100-exec-1] org.hibernate.SQL                        : select next_val as id_val from hibernate_sequence for update
2022-01-30 22:07:31.445 DEBUG 9320 --- [http-nio-4100-exec-1] org.hibernate.SQL                        : update hibernate_sequence set next_val= ? where next_val=?
2022-01-30 22:07:31.451 DEBUG 9320 --- [http-nio-4100-exec-1] org.hibernate.SQL                        : select next_val as id_val from hibernate_sequence for update
2022-01-30 22:07:31.451 DEBUG 9320 --- [http-nio-4100-exec-1] org.hibernate.SQL                        : update hibernate_sequence set next_val= ? where next_val=?
